ParticipantID,TrialNumber,Condition,RealismLikert_1to7,VisualHapticCongruence_YesNo,Notes
P14,29,MediumVisual_LightHaptic,2,NO,
P14,30,HeavyVisual_HeavyHaptic,6,YES,
P14,31,LightVisual_MediumHaptic,4,YES,
P14,32,HeavyVisual_MediumHaptic,4,NO,
P14,33,LightVisual_HeavyHaptic,2,NO,
P14,34,LightVisual_LightHaptic,7,YES,
P14,35,MediumVisual_HeavyHaptic,5,NO,
P14,36,HeavyVisual_LightHaptic,1,NO,
P15,1,HeavyVisual_LightHaptic,2,YES,
P15,2,HeavyVisual_MediumHaptic,4,NO,
P15,3,MediumVisual_MediumHaptic,6,YES,
P15,4,MediumVisual_HeavyHaptic,4,NO,
P15,5,LightVisual_MediumHaptic,3,NO,
P15,6,MediumVisual_LightHaptic,6,NO,
P15,7,HeavyVisual_HeavyHaptic,6,YES,
P15,8,LightVisual_LightHaptic,6,YES,
P15,9,LightVisual_HeavyHaptic,2,NO,
P15,10,HeavyVisual_LightHaptic,3,NO,
P15,11,MediumVisual_MediumHaptic,7,YES,
P15,12,HeavyVisual_MediumHaptic,5,YES,
P15,13,MediumVisual_LightHaptic,3,YES,
P15,14,MediumVisual_HeavyHaptic,4,NO,
P15,15,HeavyVisual_HeavyHaptic,6,YES,
P15,16,LightVisual_HeavyHaptic,3,NO,
P15,17,LightVisual_LightHaptic,7,YES,
P15,18,LightVisual_MediumHaptic,4,YES,
P15,19,MediumVisual_HeavyHaptic,4,YES,
P15,20,HeavyVisual_MediumHaptic,2,NO,
P15,21,LightVisual_HeavyHaptic,2,NO,
P15,22,HeavyVisual_HeavyHaptic,5,YES,
P15,23,LightVisual_MediumHaptic,3,NO,
P15,24,HeavyVisual_LightHaptic,3,YES,
P15,25,LightVisual_LightHaptic,6,YES,
P15,26,MediumVisual_MediumHaptic,6,YES,
